序号	提交答卷时间	所用时间	来源	来源详情	来自IP	3、中国第一位登陆美国 NBA 的篮球运动员是	4、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	11、”问世间，情为何物“的下一句是？	12、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	15、2019年GDP总量世界排名第四的国家是？	16、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	17、李世民登基时的年龄是50岁以上还是以下？李世民登基时的年龄是___岁?（用逗号隔开两问的答案）	18、你觉得其他人上一题的第二问可能会回答什么？(如果有多个请用逗号隔开	19、橄榄球起源于哪个国家？	20、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开
89	N/A	N/A	N/A	N/A	N/A	Yao	Yao	只叫人生死相随	只叫人生死相随	Germany	Japan,UK	33	0	莫斯科	莫斯科
90	N/A	N/A	N/A	N/A	N/A	Wang	Song,Hu	2	4	Germany	France,UK	28	20多	UK	US
91	N/A	N/A	N/A	N/A	N/A	Yao	Yao	3	3	Japan	Germany	27	37,47	中国	中国,UK
92	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Germany,Japan,India,UK	30	40	德国	德国
93	N/A	N/A	N/A	N/A	N/A	Jordan	Jordan,科比	4	4	Germany	UK,Japan	28	28,50	意大利	意大利,US
94	N/A	N/A	N/A	N/A	N/A	Song	Hu	1	2	China	Japan	27	31,26	UK	US
95	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Germany	34	40	US	US,UK
96	N/A	N/A	N/A	N/A	N/A	Wang	Yao,刘玉栋,Wang	只教生死相许	这敖生吃相许	Japan	Russia	28	28	UK	UK
97	N/A	N/A	N/A	N/A	N/A	Yao	0	5	1	Germany	UK,Russia	27	26	荷兰	0
98	N/A	N/A	N/A	N/A	N/A	Wang	Yao,Yi	6	情为情物	Russia	不知道	27	30	UK	US,加拿大
99	N/A	N/A	N/A	N/A	N/A	Song	Yao,马健	2	我怎么知道？	Germany	France,Germany,Japan	30	20,40	UK	巴西
100	N/A	N/A	N/A	N/A	N/A	Yao	Wang	4	只让人生死相许	China	Japan,Russia,UK	30	40	US	意大利,UK
101	N/A	N/A	N/A	N/A	N/A	Wang	Wang,Yao,不知道	2	2,不知道	Japan	India,韩国,UK	27	50	UK	UK,US,法国
102	N/A	N/A	N/A	N/A	N/A	Wang	Yao	2	1	Japan	Japan	27	51	UK	希腊,德国
103	N/A	N/A	N/A	N/A	N/A	Wang	Yao	2	不知道	China	Japan	28	28	US	加拿大
104	N/A	N/A	N/A	N/A	N/A	Wang	不知道	忘了	不	Germany	Germany	30	38	US	不知道
105	N/A	N/A	N/A	N/A	N/A	Wang	Wang	1	1	China	China	49	50	UK	UK
106	N/A	N/A	N/A	N/A	N/A	Yao	Yi	1	2	Russia	Japan	27	27,50,51	US	UK
107	N/A	N/A	N/A	N/A	N/A	Song	Yao	3	直叫人生死相依	China	Japan	50	60	UK	巴西
108	N/A	N/A	N/A	N/A	N/A	Yao	不知道	不知道	不知道	UK	Japan,Germany,UK	27	51	US	不知道
109	N/A	N/A	N/A	N/A	N/A	Wang	Wang,Ba	2	2	Japan	Germany	28	30	UK	UK,US,德国
110	N/A	N/A	N/A	N/A	N/A	Yao	Yi	1	2	China	India	45	50	UK	US
111	N/A	N/A	N/A	N/A	N/A	Yao	穆铁柱	2	又岂在朝朝暮暮	Germany	Japan	35	40	UK	瑞典,Australia,巴西
112	N/A	N/A	N/A	N/A	N/A	Yao	Yao	1	2	Germany	India	30	30	US	UK
113	N/A	N/A	N/A	N/A	N/A	Wang	Yao	2	2	China	China	27	30,27	US	巴西
114	N/A	N/A	N/A	N/A	N/A	Wang	Wang	2	2	China	US	28	不知道	UK	UK
115	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Japan,Germany	30	50	UK	UK
116	N/A	N/A	N/A	N/A	N/A	Yao	Yao	3	不懂	Germany	UK	27	27	巴西	US
117	N/A	N/A	N/A	N/A	N/A	不知道	符合	直教人，生死相随	直教人，生死相随	US	US	50	50	不知道	不知道
118	N/A	N/A	N/A	N/A	N/A	Yao	Yao	直叫人以身相许	以身相许	Germany	Germany	27	27	中国	中国
119	N/A	N/A	N/A	N/A	N/A	Song	Yao	2	直让人生死相许	Germany	UK	28	28	US	UK,US,德国
120	N/A	N/A	N/A	N/A	N/A	Ba	Wang,Yao	6	不知道	China	China	50	不知道	UK	US
121	N/A	N/A	N/A	N/A	N/A	Jordan	10	只叫人生死相随	只叫人	巴西	巴西	27	28	意大利	法国
122	N/A	N/A	N/A	N/A	N/A	Yao	一般	2	在认真作答	Germany	US	35	35	UK	葡萄牙
123	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	India	韩国	30	45	UK	US
124	N/A	N/A	N/A	N/A	N/A	Yao	Yao	直至让人生死相许	直至让人生死相许	China	China	40	35	US	US
125	N/A	N/A	N/A	N/A	N/A	Yao	不知道	2	不知道	China	China	22	不知道	UK	US
126	N/A	N/A	N/A	N/A	N/A	不知道	不知道	2	2	Japan	China	28	23	不知道	不知道
127	N/A	N/A	N/A	N/A	N/A	Wang	Ba	2	不知道	China	US,China,Germany	40	30	US	UK
128	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	China	China	30	25	UK	US,UK
129	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	Japan	China,Russia	30	60	UK	UK
130	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Japan	27	23	US	UK
131	N/A	N/A	N/A	N/A	N/A	Wang	Wang,Yao	2	2	India	China	52	46,52,49,51,50	UK	UK,US
132	N/A	N/A	N/A	N/A	N/A	Wang	Yao	2	梅花三弄	India	India,Russia	23	28,32	UK	US
133	N/A	N/A	N/A	N/A	N/A	Yao	Wang	2	2	China	Japan	25	28,30	US	US
